TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionHour,TransactionAmountKategori,AmountToBalanceRatio,AmountPerLogin,TimeOfDay,Cluster
17.78000000000003,2023-03-14 16:46:10,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,2024-11-04 08:06:45,16.0,Rendah,0.002339621449775481,17.779999982220033,2.0,0
190.02000000000004,2023-02-06 17:30:00,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 08:07:12,17.0,Sedang,0.12429275057062406,190.01999980998002,2.0,1
494.52,2023-06-07 17:21:28,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,2024-11-04 08:08:38,17.0,Sangat Tinggi,0.30525549067276625,494.5199995054799,2.0,1
781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,2024-11-04 08:07:06,16.0,Sangat Tinggi,4.121250461257212,781.75999921824,2.0,1
166.99,2023-02-13 16:53:57,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,2024-11-04 08:10:09,16.0,Sedang,0.5567632447552532,166.98999983301,2.0,1
465.45,2023-12-12 16:23:31,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 08:12:19,16.0,Sangat Tinggi,0.13430807320067456,465.44999953454993,2.0,3
555.8,2023-10-30 16:52:49,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.2600000000002,2024-11-04 08:07:35,16.0,Sangat Tinggi,0.49131057404973977,555.7999994441999,2.0,1
492.93,2023-12-14 18:32:14,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 08:11:51,18.0,Sangat Tinggi,0.09646436280445941,492.92999950706997,2.0,3
18.680000000000007,2023-02-21 16:56:50,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,2024-11-04 08:12:01,16.0,Rendah,0.002350167392811048,18.67999998132001,2.0,0
71.47999999999999,2023-06-08 18:18:50,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,2024-11-04 08:09:20,18.0,Rendah,0.01088209189491035,71.47999992851999,2.0,3
59.31999999999999,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,2024-11-04 08:09:24,16.0,Rendah,0.010314925168102618,59.31999994067999,2.0,3
85.76999999999998,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 08:08:13,18.0,Sedang,0.009377675294301835,85.76999991422997,2.0,0
52.19999999999999,2023-06-06 18:54:15,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,2024-11-04 08:07:01,18.0,Rendah,0.005816201351987599,52.199999947799995,2.0,0
145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 08:07:09,16.0,Sedang,0.07537183577076927,145.53999985445995,2.0,1
15.949999999999989,2023-10-20 17:53:13,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,2024-11-04 08:09:44,17.0,Rendah,0.004388293847858438,15.94999998405001,2.0,3
40.31999999999999,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 08:11:59,16.0,Rendah,0.015008263478397704,40.31999995967996,2.0,1
127.44999999999999,2023-01-24 16:18:32,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 08:11:22,16.0,Sedang,0.0719219439521958,127.44999987255,2.0,1
56.170000000000016,2023-09-20 16:55:42,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,2024-11-04 08:08:30,16.0,Rendah,0.04155538622018248,56.16999994383002,2.0,1
28.31000000000003,2023-07-17 17:49:22,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,2024-11-04 08:09:17,17.0,Rendah,0.0033967366851157532,28.30999997168999,2.0,0
59.120000000000005,2023-02-06 16:24:24,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,2024-11-04 08:06:58,16.0,Rendah,0.006018135843739586,59.11999994088001,2.0,0
806.97,2023-03-13 17:23:24,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,2024-11-04 08:07:50,17.0,Sangat Tinggi,2.02248120300245,806.9699991930299,2.0,1
255.26,2023-10-27 16:42:49,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,2024-11-04 08:10:51,16.0,Tinggi,0.017228822877089406,255.25999974473996,2.0,2
124.75999999999999,2023-10-16 16:32:56,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,2024-11-04 08:06:23,16.0,Sedang,0.02164198781553628,124.75999987524,2.0,3
78.13,2023-11-21 16:58:44,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.6099999999997,2024-11-04 08:12:18,16.0,Rendah,0.08675231232155237,78.12999992187,2.0,1
649.28,2023-03-02 17:53:32,Debit,San Jose,ATM,75.0,Retired,137.0,1.0,4875.86,2024-11-04 08:11:15,17.0,Sangat Tinggi,0.13316214985661334,649.2799993507199,2.0,3
795.31,2023-10-12 17:07:40,Debit,Mesa,ATM,66.0,Doctor,90.0,1.0,7914.88,2024-11-04 08:11:17,17.0,Sangat Tinggi,0.10048288792753642,795.30999920469,2.0,0
335.63,2023-01-24 17:17:20,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.3899999999999,2024-11-04 08:07:32,17.0,Tinggi,0.32924592158023014,335.62999966436996,2.0,1
328.47,2023-07-31 18:39:50,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,2024-11-04 08:07:31,18.0,Tinggi,0.07597035844629875,328.46999967153,2.0,3
34.02000000000001,2023-01-09 16:13:21,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,2024-11-04 08:11:45,16.0,Rendah,0.0023933341212620807,34.01999996598002,2.0,2
241.42,2023-04-20 18:57:43,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,2024-11-04 08:09:03,18.0,Tinggi,0.018074390844663085,241.41999975857996,2.0,2
55.31999999999999,2023-04-12 16:03:37,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.78999999999996,2024-11-04 08:08:03,16.0,Rendah,0.22879358120588614,55.31999994467998,2.0,1
304.31,2023-07-26 16:52:28,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.6099999999997,2024-11-04 08:09:53,16.0,Tinggi,0.35034134997254207,304.30999969568995,2.0,1
435.27,2023-10-04 17:49:29,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,2024-11-04 08:11:12,17.0,Sangat Tinggi,0.09314014995889543,435.26999956472997,2.0,3
164.49,2023-12-13 16:01:38,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,2024-11-04 08:10:33,16.0,Sedang,0.10898646365454227,164.48999983551,2.0,1
510.24,2023-10-09 16:29:40,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.6999999999998,2024-11-04 08:11:35,16.0,Sangat Tinggi,0.6527312268125207,510.23999948975995,2.0,1
626.9,2023-11-27 16:45:57,Debit,Denver,Online,26.0,Student,138.0,1.0,265.5100000000002,2024-11-04 08:07:24,16.0,Sangat Tinggi,2.3611163421251113,626.8999993731,2.0,1
22.009999999999962,2023-03-27 16:45:18,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.0900000000001,2024-11-04 08:06:31,16.0,Rendah,0.01648577998485759,22.00999997798999,2.0,1
425.34,2023-02-13 16:59:39,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,2024-11-04 08:07:07,16.0,Sangat Tinggi,0.10885109301501485,425.33999957465994,2.0,3
424.56,2023-02-21 17:45:55,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,2024-11-04 08:09:02,17.0,Sangat Tinggi,0.08190051795478612,424.55999957544,2.0,3
85.43,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,2024-11-04 08:06:45,16.0,Sedang,0.005731672134666743,85.42999991457,2.0,2
169.5,2023-09-07 16:51:27,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8800000000001,2024-11-04 08:08:58,16.0,Sedang,0.1844636949327611,169.49999983049997,2.0,1
104.63,2023-03-29 17:47:16,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,2024-11-04 08:10:42,17.0,Sedang,0.023366489644416788,104.62999989536999,2.0,3
316.95,2023-08-04 17:53:40,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.0299999999997,2024-11-04 08:09:15,17.0,Tinggi,0.23938279344105548,316.94999968304995,2.0,1
60.53999999999999,2023-12-14 17:52:37,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,2024-11-04 08:09:57,17.0,Rendah,0.017126223150099956,60.53999993945999,2.0,3
292.56,2023-03-03 17:37:41,Credit,Dallas,Branch,68.0,Retired,61.0,1.0,4638.37,2024-11-04 08:07:49,17.0,Tinggi,0.06307388155751631,292.55999970744,2.0,3
386.52,2023-06-09 16:18:15,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,2024-11-04 08:07:09,16.0,Tinggi,0.0686462035196775,386.51999961347997,2.0,3
112.07,2023-10-02 16:35:22,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3000000000002,2024-11-04 08:11:37,16.0,Sedang,0.12046651617744761,112.06999988792998,2.0,1
568.52,2023-10-06 18:44:37,Debit,Indianapolis,ATM,46.0,Engineer,152.0,1.0,5499.91,2024-11-04 08:06:25,18.0,Sangat Tinggi,0.10336896421939569,568.51999943148,2.0,3
263.99,2023-05-16 16:07:30,Debit,Dallas,Branch,79.0,Retired,227.0,1.0,4175.02,2024-11-04 08:11:03,16.0,Tinggi,0.06323083482233299,263.98999973600996,2.0,3
349.64,2023-11-07 16:48:23,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,2024-11-04 08:08:09,16.0,Tinggi,0.05256463838883571,349.63999965036,2.0,3
601.4,2023-05-30 17:43:25,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,2024-11-04 08:08:01,17.0,Sangat Tinggi,0.07110184209809887,601.3999993985999,2.0,0
15.949999999999989,2023-11-02 16:01:40,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,2024-11-04 08:11:32,16.0,Rendah,0.0011402533006578952,15.94999998405001,2.0,2
201.33,2023-03-29 17:00:31,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,2024-11-04 08:11:41,17.0,Sedang,0.07788183685545154,201.32999979867,2.0,1
298.42,2023-04-25 16:11:24,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,2024-11-04 08:10:12,16.0,Tinggi,0.09898664897583581,298.41999970157997,2.0,1
521.06,2023-04-18 18:40:47,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,2024-11-04 08:12:10,18.0,Sangat Tinggi,0.2670158141249618,521.0599994789399,2.0,1
117.28,2023-02-09 16:34:53,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,2024-11-04 08:07:11,16.0,Sedang,0.031993278356243854,117.27999988272,2.0,3
189.12,2023-11-13 16:42:28,Credit,Indianapolis,Branch,32.0,Engineer,103.0,1.0,977.0100000000002,2024-11-04 08:08:42,16.0,Sedang,0.19357017840125115,189.11999981088,2.0,1
133.55,2023-07-18 16:12:00,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,2024-11-04 08:10:18,16.0,Sedang,0.034721861122946146,133.54999986645,2.0,3
143.20999999999998,2023-01-13 17:00:16,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,2024-11-04 08:09:26,17.0,Sedang,0.02246494802990165,143.20999985679,2.0,3
24.769999999999982,2023-07-04 18:20:33,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,2024-11-04 08:12:15,18.0,Rendah,0.004222631737756277,24.769999975230007,2.0,3
233.92,2023-10-20 16:54:28,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,2024-11-04 08:08:45,16.0,Tinggi,0.03578060517435461,233.91999976607997,2.0,3
232.12,2023-12-28 17:31:03,Debit,Omaha,ATM,37.0,Engineer,51.0,1.0,6689.87,2024-11-04 08:09:17,17.0,Tinggi,0.03469723626915999,232.11999976788,2.0,3
162.63,2023-06-12 17:53:52,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.1700000000001,2024-11-04 08:08:22,17.0,Sedang,0.25644543261230196,162.62999983736998,2.0,1
91.53,2023-03-13 16:32:12,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,2024-11-04 08:11:36,16.0,Sedang,0.006236691752889489,91.52999990846999,2.0,2
120.29000000000002,2023-12-18 18:46:27,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.3900000000003,2024-11-04 08:06:50,18.0,Sedang,0.08829336680386064,120.28999987971002,2.0,1
174.25,2023-07-17 18:54:31,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,2024-11-04 08:10:29,18.0,Sedang,0.016550567325901655,174.24999982575,2.0,0
183.71,2023-06-19 18:22:10,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,2024-11-04 08:09:51,18.0,Sedang,0.3324947513206171,183.70999981628998,2.0,1
345.39,2023-10-23 17:13:57,Credit,Phoenix,Online,58.0,Engineer,80.0,1.0,6451.96,2024-11-04 08:08:16,17.0,Tinggi,0.05353256994772851,345.38999965460994,2.0,3
806.97,2023-01-23 16:32:48,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,2024-11-04 08:11:07,16.0,Sangat Tinggi,0.17111903711742316,806.9699991930299,2.0,3
259.91,2023-11-06 16:34:10,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,2024-11-04 08:09:38,16.0,Tinggi,0.036215002103979155,259.90999974009003,2.0,0
154.71,2023-07-03 16:40:24,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,2024-11-04 08:09:42,16.0,Sedang,0.10153440264608882,154.70999984528999,2.0,1
24.56000000000003,2023-10-20 17:27:35,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,2024-11-04 08:12:05,17.0,Rendah,0.0024883661788885625,24.55999997543998,2.0,0
568.07,2023-08-28 17:03:53,Debit,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,2024-11-04 08:07:32,17.0,Sangat Tinggi,0.05381076291038167,568.06999943193,2.0,0
15.949999999999989,2023-06-22 18:37:29,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,2024-11-04 08:09:10,18.0,Rendah,0.0012379782224494484,15.94999998405001,2.0,2
392.96,2023-11-20 16:28:09,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.6499999999996,2024-11-04 08:08:38,16.0,Tinggi,0.49638097644098256,392.95999960703995,2.0,1
716.93,2023-09-14 16:49:33,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,2024-11-04 08:08:12,16.0,Sangat Tinggi,0.1764090727899527,716.92999928307,2.0,3
230.66,2023-03-27 18:16:04,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.0500000000002,2024-11-04 08:10:44,18.0,Tinggi,0.3732060512897447,230.65999976933998,2.0,1
442.12,2023-12-21 16:37:03,Debit,Los Angeles,Online,19.0,Student,260.0,1.0,1375.8000000000002,2024-11-04 08:08:21,16.0,Sangat Tinggi,0.32135484808815135,442.11999955787996,2.0,1
644.17,2023-03-02 16:05:09,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,2024-11-04 08:08:04,16.0,Sangat Tinggi,0.563322023226036,644.1699993558299,2.0,1
508.68,2023-06-26 16:16:50,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,2024-11-04 08:09:32,16.0,Sangat Tinggi,0.06599026258332574,508.67999949131996,2.0,0
806.97,2023-04-18 17:27:23,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,2024-11-04 08:10:47,17.0,Sangat Tinggi,0.4308527678111487,806.9699991930299,2.0,1
25.360000000000014,2023-07-17 17:08:24,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,2024-11-04 08:11:05,17.0,Rendah,0.12614405093450992,25.359999974639976,2.0,1
147.62,2023-09-01 17:26:02,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,2024-11-04 08:07:22,17.0,Sedang,0.06977029965021751,147.61999985238,2.0,1
115.01999999999998,2023-09-11 16:19:04,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,2024-11-04 08:08:38,16.0,Sedang,0.015047765075890979,115.01999988497997,2.0,0
383.37,2023-01-24 17:23:56,Debit,Fort Worth,Branch,30.0,Engineer,23.999999999999986,1.0,8901.93,2024-11-04 08:11:07,17.0,Tinggi,0.04306594188001442,383.36999961662997,2.0,0
98.54000000000002,2023-08-11 16:18:46,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,2024-11-04 08:10:02,16.0,Sedang,0.010501490393170665,98.53999990146002,2.0,0
83.24000000000001,2023-10-16 18:35:11,Credit,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,2024-11-04 08:10:52,18.0,Sedang,0.07046414573645322,83.23999991675998,2.0,1
196.16,2023-02-24 16:29:23,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,2024-11-04 08:08:32,16.0,Sedang,0.020826299573406898,196.15999980383998,2.0,0
129.94,2023-01-02 16:36:02,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,2024-11-04 08:06:35,16.0,Sedang,0.016334545161985736,129.93999987005998,2.0,0
306.9,2023-11-30 16:31:03,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,2024-11-04 08:10:48,16.0,Tinggi,0.03258625961979164,306.89999969309997,2.0,0
114.98000000000002,2023-11-01 16:52:01,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,2024-11-04 08:09:24,16.0,Sedang,0.018712121705276974,114.97999988501999,2.0,3
756.59,2023-03-06 16:47:02,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.64999999999964,2024-11-04 08:11:40,16.0,Sangat Tinggi,1.7986211815005397,756.5899992434099,2.0,1
503.76,2023-11-27 18:32:49,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.8199999999997,2024-11-04 08:09:22,18.0,Sangat Tinggi,1.124916260995211,503.75999949623997,2.0,1
143.03,2023-07-31 16:37:46,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,2024-11-04 08:10:42,16.0,Sedang,0.01792030270188777,143.02999985697,2.0,0
806.97,2023-11-22 16:13:39,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,2024-11-04 08:07:35,16.0,Sangat Tinggi,0.44099131100036015,806.9699991930299,2.0,1
245.54,2023-03-21 16:29:31,Debit,New York,ATM,25.0,Student,180.0,1.0,985.0599999999995,2024-11-04 08:10:26,16.0,Tinggi,0.2492640042228401,245.53999975445998,2.0,1
254.37,2023-04-20 18:26:50,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,2024-11-04 08:06:56,18.0,Tinggi,0.028744776399379307,254.36999974563,2.0,0
213.76,2023-03-01 17:52:14,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,2024-11-04 08:09:36,17.0,Tinggi,0.06057720646578346,213.75999978623997,2.0,3
327.86,2023-02-10 16:52:48,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.15999999999985,2024-11-04 08:06:30,16.0,Tinggi,0.6828140619779184,327.85999967213996,2.0,1
15.949999999999989,2023-07-21 16:43:11,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,2024-11-04 08:09:53,16.0,Rendah,0.0013132684575969666,15.94999998405001,2.0,2
300.08,2023-10-09 17:02:43,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,2024-11-04 08:12:18,17.0,Tinggi,0.022151438536916812,300.07999969991994,2.0,2
56.97999999999999,2024-01-01 16:34:10,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,1.0,5688.37,2024-11-04 08:07:42,16.0,Rendah,0.010016929278508613,56.979999943019976,2.0,3
407.65,2023-07-07 16:11:38,Debit,Boston,Online,26.0,Engineer,62.0,1.0,8346.64,2024-11-04 08:06:30,16.0,Sangat Tinggi,0.048840012268403954,407.64999959234996,2.0,0
115.82999999999996,2023-05-22 17:09:52,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,2024-11-04 08:10:02,17.0,Sedang,0.0178721316331919,115.82999988416995,2.0,3
53.56999999999999,2023-08-16 16:17:12,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,2024-11-04 08:08:43,16.0,Rendah,0.0324405176433345,53.56999994642999,2.0,1
63.34,2023-11-17 16:02:02,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,2024-11-04 08:10:13,16.0,Rendah,0.0056680393809715734,63.33999993666001,2.0,2
317.87,2023-05-22 17:29:35,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,2024-11-04 08:11:32,17.0,Tinggi,2.1846735395038857,317.86999968212996,2.0,1
331.65,2023-08-25 17:26:07,Debit,Portland,Online,41.0,Engineer,61.0,1.0,4172.57,2024-11-04 08:11:00,17.0,Tinggi,0.07948338793595326,331.64999966834995,2.0,3
15.949999999999989,2023-11-27 16:38:34,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,2024-11-04 08:10:48,16.0,Rendah,0.0028695514504273045,15.94999998405001,2.0,3
214.54,2023-08-04 17:46:44,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,2024-11-04 08:11:56,17.0,Tinggi,0.01923861568771107,214.53999978545997,2.0,2
598.81,2023-09-04 16:48:35,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,2024-11-04 08:10:13,16.0,Sangat Tinggi,0.42303181869530415,598.8099994011899,2.0,1
806.97,2023-08-09 17:34:26,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.6400000000003,2024-11-04 08:09:58,17.0,Sangat Tinggi,0.7311895183205287,806.9699991930299,2.0,1
38.14999999999998,2023-09-07 16:07:40,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.6800000000003,2024-11-04 08:07:42,16.0,Rendah,0.1256256585875735,38.14999996184997,2.0,1
806.97,2023-07-11 16:39:53,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,2024-11-04 08:09:24,16.0,Sangat Tinggi,0.1456211867755626,806.9699991930299,2.0,3
124.72,2023-07-03 17:14:07,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,2024-11-04 08:07:25,17.0,Sedang,0.019766078164122514,124.71999987528,2.0,3
302.45,2023-09-25 17:13:36,Credit,San Antonio,Branch,78.0,Retired,40.000000000000014,1.0,5133.61,2024-11-04 08:11:55,17.0,Tinggi,0.058915655844511194,302.44999969754997,2.0,3
208.04,2023-11-20 17:10:02,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,2024-11-04 08:08:45,17.0,Tinggi,0.022262219929842314,208.03999979195999,2.0,0
15.949999999999989,2023-11-17 17:27:07,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.9700000000003,2024-11-04 08:10:53,17.0,Rendah,0.014266930239617975,15.94999998405001,2.0,1
381.33,2023-08-21 16:46:05,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,2024-11-04 08:09:32,16.0,Tinggi,0.03221957948011403,381.32999961866994,2.0,2
16.159999999999997,2023-10-16 16:59:36,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,2024-11-04 08:11:59,16.0,Rendah,0.0011221310490744096,16.15999998384001,2.0,2
486.08,2023-06-20 17:21:50,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,2024-11-04 08:07:03,17.0,Sangat Tinggi,0.27796807896180686,486.07999951392,2.0,1
336.39,2023-01-16 16:53:38,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,2024-11-04 08:09:57,16.0,Tinggi,0.3362353317470601,336.38999966360996,2.0,1
806.97,2023-11-22 16:07:19,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,2024-11-04 08:08:25,16.0,Sangat Tinggi,0.11849692733531787,806.9699991930299,2.0,0
234.57,2023-09-01 16:09:08,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.97999999999956,2024-11-04 08:08:47,16.0,Tinggi,0.8885900446969914,234.56999976542997,2.0,1
15.949999999999989,2023-10-23 18:38:15,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,2024-11-04 08:09:43,18.0,Rendah,0.0029304984970854875,15.94999998405001,2.0,3
806.97,2023-10-23 16:50:33,Debit,Detroit,ATM,80.0,Retired,21.0,1.0,2037.85,2024-11-04 08:10:34,16.0,Sangat Tinggi,0.3959908727333239,806.9699991930299,2.0,1
227.14,2023-07-03 17:42:08,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.9399999999996,2024-11-04 08:11:34,17.0,Tinggi,0.6642685851299526,227.13999977285997,2.0,1
